,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr, ,,,,,,
92,Quest Diagnostic,2000000,0.4,100,30.95,7.93,12.9,16.58,21.56,26.97,30.95,45.4,59.87, , , ,,,,
93,Radian Group Inc,2000000,0.4,500,93.1,23.6,35.55,51.3,66.85,81.6,93.1,122.64,144.35, ,,,,,,
94,Royal Caribbean ,2000000,0.4,500,86.94,31.72,40.25,54.45,64.63,73.44,86.94,123.49,144.75, ,,,,,,
95,RTX Corp,2000000,0.4,100,37,11.11,14.6,20.64,27.52,32.3,37,53.4,66.38, ,,,,,,
96,Ryder System In,2000000,0.4,100,62.58,14.73,17.38,28.28,39.89,53.6,62.58,90.21,115.37, ,,,,,,
97,Sempra,2000000,0.4,100,35.53,8.9,13.17,18.49,23.61,30.29,35.53,55.23,72.56, ,,,,,,
98,Southwest Airline,2000000,0.4,100,107.92,34.64,42.39,61.67,76.82,93.57,107.92,149.77,174.3, ,,,,,,
99,T-Mobile USA Inc,2000000,0.4,500,47.8,20.08,22.01,26.63,33.63,41,47.8,66.57,85.48, ,,,,,,
100,Target Corp,2000000,0.4,100,49.03,13.22,19.57,27.73,35.99,41.3,49.03,64.51,78.14, ,,,,,,
101,Teck Resources ,2000000,0.4,500,46.71,13.26,18.36,26.06,33.98,41.73,46.71,75.79,96.93, ,,,,,,
102,AES Corp/The,2000000,0.4,500,108.35,20.81,36.7,56.33,74.34,91.83,108.35,149.65,170.39, , , , , , , 
103,Allstate Corp/Th,2000000,0.4,100,28.6,10.33,12.38,15.96,20.05,24.82,28.6,42.6,53.92, ,,,,,,
104,Boeing Co/The,2000000,0.4,100,70.62,29.52,34.23,42.68,52.08,60.2,70.62,88.61,103.2, , , ,,,,
105,Campbell's Comp,2000000,0.4,100,55.44,14.6,21.45,25.99,36.1,44.44,55.44,80.89,100.51,, , ,,,,
106,Dow Chemical Co,2000000,0.4,100,99.36,23.97,31.6,45.49,62.42,81.21,99.36,132.32,155.49, , , ,,,,
107,Home Depot Inc/,2000000,0.4,100,29.68,12.08,14.38,18.14,21.07,24.89,29.68,44.38,59.55, , , ,,,,
108,Kroger Co/The,2000000,0.4,100,39.06,11.33,14.3,19.35,24.45,31.78,39.06,57.7,73.13, , , ,,,,
109,PNC Financial Se,2000000,0.4,100,53.65,27.12,28.79,34.83,41.87,48.38,53.65,72.32,83.32, , , ,,,,
110,Procter & Gambl,2000000,0.4,100,24.02,10.81,13.75,16.16,19.3,21.2,24.02,34.65,46.22, , , ,,,,
111,Sherwin-Williams,2000000,0.4,100,48.43,15.47,19,24.47,32.07,40.09,48.43,71.94,89.4, , , ,,,,
112,Southern Co/The,2000000,0.4,100,41.43,11.84,16.65,26.01,32.55,37.23,41.43,61.24,78.28, , , ,,,,
113,Walt Disney Co/T,2000000,0.4,100,37.96,16.62,19.1,22.86,28.47,32.89,37.96,50.02,62.1, , , ,,,,
114,Williams Cos Inc,2000000,0.4,100,51.89,16.1,18.03,24.71,34.43,43.72,51.89,78.6,99.01, , , ,,,,
115,Toll Brothers Inc,2000000,0.4,100,82.2,28.89,36.11,47.64,59.12,74.68,82.2,114.92,136.55, , , ,,,,
116,TransCanada Pip,2000000,0.4,100,53.13,14.29,20.08,26.53,35.65,45.45,53.13,79.82,104.7, , , ,,,,
117,Tyson Foods Inc,2000000,0.4,100,47.68,16.12,19.43,25.14,34.3,40.4,47.68,67.18,84.94, , , ,,,,
118,Union Pacific Cor,2000000,0.4,100,23.76,7.67,10.84,13.2,17.67,20.7,23.76,36.53,50.34, , , ,,,,
119,United Parcel Se,2000000,0.4,100,32.51,10.5,14.19,17.23,22.02,27.16,32.51,47.58,60.69, , , ,,,,
120,UnitedHealth Gro,2000000,0.4,100,46.21,16.71,19.85,26.88,34.96,40.74,46.21,62.9,77.33, , , ,,,,
121,Valero Energy Co,2000000,0.4,100,51,16.9,18.23,24.88,34.07,44.58,51,80.46,101.88, , , ,,,,
122,Verizon Commun,2000000,0.4,100,61.07,26.42,30.77,35.98,44.37,52.03,61.07,78.11,97.43, , , ,,,,
123,Walmart Inc,2000000,0.4,100,26.07,11.36,12.62,17.36,19.92,23.22,26.07,39.71,51.42, , , ,,,,
124,Weyerhaeuser Co,2000000,0.4,100,32.15,10.22,11.63,15.72,21.95,26,32.15,45.59,61.65, , , ,,,,
125,Simon Property ,2000000,0.4,100,52.9,19.78,23.95,32.14,40.43,49.09,52.9,85.24,102.43, ,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, , , , ,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,103.2, , , , ,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
,,,,,,,,,,,,,,, , ,,,,
